id;link;nama_usaha;kategori;alamat;no_telp;jenis_platform;maps
1;https://www.google.com/maps/place/Sentral+Tapis/data=!4m7!3m6!1s0x2e40da5774fdf169:0x367b0bae98e615a8!8m2!3d-5.4101599!4d105.2558959!16s%2Fg%2F11bw4t_pfw!19sChIJafH9dFfaQC4RqBXmmK4LezY?authuser=0&hl=id&rclk=1;Sentral Tapis;Toko Pakaian;Pasar Bambu Kuning Plaza Blok C. 22 - 23, Blok D.08, Jalan Imam Bonjol, Klp. Tiga, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35111;0852-7988-2963;Google Maps;https://www.google.com/maps/place/Sentral+Tapis/data=!4m7!3m6!1s0x2e40da5774fdf169:0x367b0bae98e615a8!8m2!3d-5.4101599!4d105.2558959!16s%2Fg%2F11bw4t_pfw!19sChIJafH9dFfaQC4RqBXmmK4LezY?authuser=0&hl=id&rclk=1
2;https://www.google.com/maps/place/Adian+Tapis/data=!4m7!3m6!1s0x2e40db2f66833475:0x557b4aa2d646eda5!8m2!3d-5.3824913!4d105.2448139!16s%2Fg%2F11hdy6vfd4!19sChIJdTSDZi_bQC4Rpe1G1qJKe1U?authuser=0&hl=id&rclk=1;Adian Tapis;Toko Suvenir;J69V+2W4 Adian Tapis, Palapa 10/D, Gunung Terang, Tanjungkarang Barat, Bandar Lampung City, Lampung 35147;;Google Maps;https://www.google.com/maps/place/Adian+Tapis/data=!4m7!3m6!1s0x2e40db2f66833475:0x557b4aa2d646eda5!8m2!3d-5.3824913!4d105.2448139!16s%2Fg%2F11hdy6vfd4!19sChIJdTSDZi_bQC4Rpe1G1qJKe1U?authuser=0&hl=id&rclk=1
3;https://www.google.com/maps/place/Tapis+Lampung+ALYN+TAPIS+Kain+Tapis+Toko+Tapis+di+Bandar+Lampung+Pengrajin+Tapis+Lampung/data=!4m7!3m6!1s0x2e40dadd326645a7:0x2bee8dc8d864e773!8m2!3d-5.3853866!4d105.2548722!16s%2Fg%2F11g9vvdzsg!19sChIJp0VmMt3aQC4Rc-dk2MiN7is?authuser=0&hl=id&rclk=1;Tapis Lampung ALYN TAPIS Kain Tapis Toko Tapis di Bandar Lampung Pengrajin Tapis Lampung;Toko Suvenir;Jl. Pagar Alam No.23/171, Kedaton, Kec. Kedaton, Kota Bandar Lampung, Lampung 35141;0896-6655-1920;Google Maps;https://www.google.com/maps/place/Tapis+Lampung+ALYN+TAPIS+Kain+Tapis+Toko+Tapis+di+Bandar+Lampung+Pengrajin+Tapis+Lampung/data=!4m7!3m6!1s0x2e40dadd326645a7:0x2bee8dc8d864e773!8m2!3d-5.3853866!4d105.2548722!16s%2Fg%2F11g9vvdzsg!19sChIJp0VmMt3aQC4Rc-dk2MiN7is?authuser=0&hl=id&rclk=1
4;https://www.google.com/maps/place/Tenun+Lampung+Puteri+Tapis/data=!4m7!3m6!1s0x2e40dbdfaa5cfb65:0x5d9f83ff62d0004c!8m2!3d-5.3794482!4d105.2354415!16s%2Fg%2F11n5w3xj8z!19sChIJZftcqt_bQC4RTADQYv-Dn10?authuser=0&hl=id&rclk=1;Tenun Lampung Puteri Tapis;Toko Suvenir;Jl. Purnawirawan Raya No.105, Gn. Terang, Kec. Langkapura, Kota Bandar Lampung, Lampung 35146;0813-7330-0938;Google Maps;https://www.google.com/maps/place/Tenun+Lampung+Puteri+Tapis/data=!4m7!3m6!1s0x2e40dbdfaa5cfb65:0x5d9f83ff62d0004c!8m2!3d-5.3794482!4d105.2354415!16s%2Fg%2F11n5w3xj8z!19sChIJZftcqt_bQC4RTADQYv-Dn10?authuser=0&hl=id&rclk=1
5;https://www.google.com/maps/place/Galeri+Tapis+Lampung/data=!4m7!3m6!1s0x2e40dbeb2b7df6b7:0x724e225f838f54d6!8m2!3d-5.3960543!4d105.2369834!16s%2Fg%2F11gtcrv358!19sChIJt_Z9K-vbQC4R1lSPg18iTnI?authuser=0&hl=id&rclk=1;Galeri Tapis Lampung;Pusat Perbelanjaan;J63P+HQH Galeri Tapis Lampung, Jl. Sam Ratulangi, Gedong Air, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 35118;0857-6416-8188;Google Maps;https://www.google.com/maps/place/Galeri+Tapis+Lampung/data=!4m7!3m6!1s0x2e40dbeb2b7df6b7:0x724e225f838f54d6!8m2!3d-5.3960543!4d105.2369834!16s%2Fg%2F11gtcrv358!19sChIJt_Z9K-vbQC4R1lSPg18iTnI?authuser=0&hl=id&rclk=1
6;https://www.google.com/maps/place/Kinan+Tapis/data=!4m7!3m6!1s0x2e40db840e03d59b:0x890c26a8b1b8b276!8m2!3d-5.3949812!4d105.2658448!16s%2Fg%2F11mp5z3r6l!19sChIJm9UDDoTbQC4RdrK4sagmDIk?authuser=0&hl=id&rclk=1;Kinan Tapis;Toko;J748+285 Kinan Tapis, Jagabaya II, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122;0823-7703-5728;Google Maps;https://www.google.com/maps/place/Kinan+Tapis/data=!4m7!3m6!1s0x2e40db840e03d59b:0x890c26a8b1b8b276!8m2!3d-5.3949812!4d105.2658448!16s%2Fg%2F11mp5z3r6l!19sChIJm9UDDoTbQC4RdrK4sagmDIk?authuser=0&hl=id&rclk=1
7;https://www.google.com/maps/place/Griya+Aisyah+Tapis+Lampung,+Toko+Tapis,+Produsen+Tapis,+Pengrajin+Tapis,+Souvenir+%26+Oleh+oleh+Lampung/data=!4m7!3m6!1s0x2e40da9ad2218909:0xb4bc2c959708426c!8m2!3d-5.397638!4d105.2288475!16s%2Fg%2F11hbn3ztcj!19sChIJCYkh0praQC4RbEIIl5UsvLQ?authuser=0&hl=id&rclk=1;Griya Aisyah Tapis Lampung, Toko Tapis, Produsen Tapis, Pengrajin Tapis, Souvenir & Oleh oleh Lampung;Toko Kerajinan Tangan;Komplek Puri Dwita, Gg. Langgar Blok.A10, Baru, Kec. Langkapura, Kota Bandar Lampung, Lampung 35154;0852-6614-6368;Google Maps;https://www.google.com/maps/place/Griya+Aisyah+Tapis+Lampung,+Toko+Tapis,+Produsen+Tapis,+Pengrajin+Tapis,+Souvenir+%26+Oleh+oleh+Lampung/data=!4m7!3m6!1s0x2e40da9ad2218909:0xb4bc2c959708426c!8m2!3d-5.397638!4d105.2288475!16s%2Fg%2F11hbn3ztcj!19sChIJCYkh0praQC4RbEIIl5UsvLQ?authuser=0&hl=id&rclk=1
8;https://www.google.com/maps/place/Pusat+Oleholeh+Lampung,+Kerajinan+Tapis+Lampung+Sambordir/data=!4m7!3m6!1s0x2e40da57744ce7df:0x9d84fe6d2565b9a3!8m2!3d-5.409863!4d105.2563653!16s%2Fg%2F11b8zy99_0!19sChIJ3-dMdFfaQC4Ro7llJW3-hJ0?authuser=0&hl=id&rclk=1;Pusat Oleholeh Lampung, Kerajinan Tapis Lampung Sambordir;Toko Suvenir;Jl. Imam Bonjol No.24, Bambu kuning, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung;0852-7988-2963;Google Maps;https://www.google.com/maps/place/Pusat+Oleholeh+Lampung,+Kerajinan+Tapis+Lampung+Sambordir/data=!4m7!3m6!1s0x2e40da57744ce7df:0x9d84fe6d2565b9a3!8m2!3d-5.409863!4d105.2563653!16s%2Fg%2F11b8zy99_0!19sChIJ3-dMdFfaQC4Ro7llJW3-hJ0?authuser=0&hl=id&rclk=1
9;https://www.google.com/maps/place/Toko+Tapis+Aneka+Safari/data=!4m7!3m6!1s0x2e40da56f4de41af:0xf4dce5dbff156818!8m2!3d-5.410096!4d105.258893!16s%2Fg%2F1pzyl1jl_!19sChIJr0He9FbaQC4RGGgV_9vl3PQ?authuser=0&hl=id&rclk=1;Toko Tapis Aneka Safari;Toko Suvenir;JL. Raden Intan, Blok B No. 1, Pasar Tengah, Tanjung Karang Pusat, Gn. Sari, Engal, Kota Bandar Lampung, Lampung 35128;0858-4190-3257;Google Maps;https://www.google.com/maps/place/Toko+Tapis+Aneka+Safari/data=!4m7!3m6!1s0x2e40da56f4de41af:0xf4dce5dbff156818!8m2!3d-5.410096!4d105.258893!16s%2Fg%2F1pzyl1jl_!19sChIJr0He9FbaQC4RGGgV_9vl3PQ?authuser=0&hl=id&rclk=1
10;https://www.google.com/maps/place/Sami+Sutra/data=!4m7!3m6!1s0x2e40da57989f847f:0xbcdaa15610bdb94a!8m2!3d-5.4096355!4d105.2560847!16s%2Fg%2F11b7xp0gf_!19sChIJf4SfmFfaQC4RSrm9EFah2rw?authuser=0&hl=id&rclk=1;Sami Sutra;Grosir Kain;Jl. Imam Bonjol No.38, Pasir Gintung, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35127;(0721) 264423;Google Maps;https://www.google.com/maps/place/Sami+Sutra/data=!4m7!3m6!1s0x2e40da57989f847f:0xbcdaa15610bdb94a!8m2!3d-5.4096355!4d105.2560847!16s%2Fg%2F11b7xp0gf_!19sChIJf4SfmFfaQC4RSrm9EFah2rw?authuser=0&hl=id&rclk=1
